SHA,ETAG,Author,Username,Additions,Deletions,Total,Date
0a6c5207c9253839afc4570102f470943282f648,"W/""25f2bc37dfbcce46fc4d37f9740bd622765c8e6bcfc2aaaf4f7edbc1ac9c5b3d""",Oleg Grenrus,phadej,1.0,1.0,2.0,"Sat, 15 Feb 2020 09:33:07 GMT"
dce8c7fe404083b1ddad5c665f0e7e7cb4dddf8b,"W/""6e0e349c635958b2d71925970a46e3c1f0ffca8c14192dff3b46ae0832599908""",,,1.0,1.0,2.0,"Sat, 15 Feb 2020 01:10:00 GMT"
b9d2d1ba2326d417d1dcbbc4ce225835af76a108,"W/""9f918d86787558d6cc90334fdc9667ab3364c3ca1f76a381e4721c448164913d""",Ali Abrar,ali-abrar,3.0,0.0,3.0,"Fri, 14 Feb 2020 15:37:53 GMT"
ce8ece7d29a912c44a341a9606ff075598b01603,"W/""6adad122f9f65c64437947169e7a12d85424dc35208e195edf05f1f578eac0cd""",Oleg Grenrus,phadej,7.0,2.0,9.0,"Tue, 11 Feb 2020 14:17:39 GMT"
1ac8ddf86ac2be6ea33091fc98141f6dc355f30b,"W/""dd570129daa48d3f095b87c13deee437a860d7aba2879af21d61cfe183562eb5""",Oleg Grenrus,phadej,27.0,15.0,42.0,"Tue, 11 Feb 2020 14:17:23 GMT"
7d9fcbaed66dd2ac742d4d8c06ec20de0a0bf312,"W/""33d87ba4e198d9994251608686bba7b2497292790479d00e70806d338c686a26""",Robbie McMichael,robbiemcmichael,27.0,15.0,42.0,"Tue, 11 Feb 2020 13:56:44 GMT"
abc4fff2119534dddfbc45bab63e2c293920dd4b,"W/""038a3500d6a33b9edff2996c33432fcf2c734ecb64fce618d444b67351811524""",Oleg Grenrus,phadej,210.0,1.0,211.0,"Tue, 11 Feb 2020 12:28:31 GMT"
3cb9b2343fc7a23009aaa897e7944cee73e5f116,"W/""c5ffb335305caee36d4659ff2db868b4ec54df9d3e691b0f46ef0810e13ec1c9""",Veronika Romashkina,vrom911,7.0,2.0,9.0,"Mon, 10 Feb 2020 19:00:39 GMT"
1c4db8772c9ffae5c6690b81a25c025166c49dd1,"W/""6ed314fc8a1b11f51bb32b049b0d1cd3fae2a0d5aedf037f2100e41bcb66c777""",Oleg Grenrus,phadej,53.0,0.0,53.0,"Tue, 28 Jan 2020 13:18:00 GMT"
e712718ff99c1846391ebed9c38ebfb70f7844fa,"W/""9fae1082f516f5ff92d44b38eb9338cc1009fb9527b02f4a2dd1dcce7d53d49b""",Ruud van Asseldonk,ruuda,53.0,0.0,53.0,"Mon, 27 Jan 2020 10:14:44 GMT"
c21d78adc31c5e7a8bf98ed46f0f23ceea6c5cb3,"W/""8700963a7c55265d42b04625b11219e356f7330eaa6d192b5cf2315b3853a180""",Oleg Grenrus,phadej,23.0,0.0,23.0,"Sat, 04 Jan 2020 09:00:31 GMT"
e4ddc1ab3a0e8c7830ca1d682faf4c8eff71fbcf,"W/""b584422a977e2890defb62c8a5c43732ae55dd26de837fe0ab477d3acba77b3f""",Thomas M. DuBuisson,TomMD,23.0,0.0,23.0,"Sat, 04 Jan 2020 00:21:05 GMT"
09e17083a205b28cf8429a65269201d7ddb4f3e7,"W/""cba6afe62a4554de2dc03f8dcd729d1ea20fb80e3bb152e707ac5b5ec02687c4""",Oleg Grenrus,phadej,102.0,54.0,156.0,"Fri, 20 Dec 2019 14:08:03 GMT"
